"1_Auspraegung_Label","3_Auspraegung_Label","BEV027__Auslaender__Anzahl"
"Rheinland-Pfalz","Kroatien","15720"
"Rheinland-Pfalz","Lettland","1890"
"Rheinland-Pfalz","Litauen","4140"
"Rheinland-Pfalz","Luxemburg","11125"
"Rheinland-Pfalz","Malta","55"
"Rheinland-Pfalz","Niederlande","6730"
"Rheinland-Pfalz","Norwegen","220"
"Rheinland-Pfalz","Österreich","5210"
"Rheinland-Pfalz","Polen","44360"
"Rheinland-Pfalz","Portugal","8725"
"Rheinland-Pfalz","Rumänien","46135"
"Rheinland-Pfalz","Schweden","700"
"Rheinland-Pfalz","Schweiz","1540"
"Rheinland-Pfalz","Serbien","7540"
"Rheinland-Pfalz","Slowakei","2105"
"Rheinland-Pfalz","Slowenien","865"
"Rheinland-Pfalz","Spanien","6600"
"Rheinland-Pfalz","Tschechien","1835"
"Rheinland-Pfalz","Ungarn","10180"
"Rheinland-Pfalz","Vereinigtes Königreich","2960"
"Rheinland-Pfalz","Zypern","100"
"Saarland","Belgien","430"
"Saarland","Bosnien und Herzegowina","1655"
"Saarland","Bulgarien","5590"
"Saarland","Dänemark","85"
"Saarland","Estland","55"
"Saarland","Finnland","85"
"Saarland","Frankreich","6790"
"Saarland","Griechenland","1515"
"Saarland","Insgesamt","134350"
"Saarland","Irland","120"
"Saarland","Italien","18235"
"Saarland","Kroatien","1470"
"Saarland","Lettland","215"
"Saarland","Litauen","395"
"Saarland","Luxemburg","5085"
"Saarland","Malta","5"
"Saarland","Niederlande","640"
"Saarland","Norwegen","55"
"Saarland","Österreich","1015"
"Saarland","Polen","5780"
"Saarland","Portugal","955"
"Saarland","Rumänien","9365"
"Saarland","Schweden","160"
"Saarland","Schweiz","315"
"Saarland","Serbien","1215"
"Saarland","Slowakei","660"
"Saarland","Slowenien","195"
"Saarland","Spanien","1140"
"Saarland","Tschechien","290"
"Saarland","Ungarn","2125"
"Saarland","Vereinigtes Königreich","610"
"Saarland","Zypern","45"
"Sachsen-Anhalt","Belgien","140"
"Sachsen-Anhalt","Bosnien und Herzegowina","1065"
"Sachsen-Anhalt","Bulgarien","4505"
"Sachsen-Anhalt","Dänemark","65"
"Sachsen-Anhalt","Estland","80"
"Sachsen-Anhalt","Finnland","100"
"Sachsen-Anhalt","Frankreich","425"
"Sachsen-Anhalt","Griechenland","1735"
"Sachsen-Anhalt","Insgesamt","127670"
"Sachsen-Anhalt","Irland","70"
"Sachsen-Anhalt","Italien","1395"
"Sachsen-Anhalt","Kroatien","1590"
"Sachsen-Anhalt","Lettland","325"
"Sachsen-Anhalt","Litauen","650"
"Sachsen-Anhalt","Luxemburg","35"
"Sachsen-Anhalt","Malta","5"
"Sachsen-Anhalt","Niederlande","795"
"Sachsen-Anhalt","Norwegen","35"
"Sachsen-Anhalt","Österreich","670"
"Sachsen-Anhalt","Polen","12225"
"Sachsen-Anhalt","Portugal","965"
"Sachsen-Anhalt","Rumänien","9940"
"Sachsen-Anhalt","Schweden","115"
"Sachsen-Anhalt","Schweiz","265"
"Sachsen-Anhalt","Serbien","1395"
"Sachsen-Anhalt","Slowakei","855"
"Sachsen-Anhalt","Slowenien","125"
"Sachsen-Anhalt","Spanien","625"
"Sachsen-Anhalt","Tschechien","855"
"Sachsen-Anhalt","Ungarn","2905"
"Sachsen-Anhalt","Vereinigtes Königreich","345"
"Sachsen-Anhalt","Zypern","30"
"Sachsen","Belgien","360"
"Sachsen","Bosnien und Herzegowina","980"
"Sachsen","Bulgarien","5420"
"Sachsen","Dänemark","170"
"Sachsen","Estland","230"
"Sachsen","Finnland","270"
"Sachsen","Frankreich","1830"
"Sachsen","Griechenland","3370"
"Sachsen","Insgesamt","244415"
"Sachsen","Irland","395"
"Sachsen","Italien","4200"
"Sachsen","Kroatien","1980"
"Sachsen","Lettland","995"
"Sachsen","Litauen","945"
"Sachsen","Luxemburg","85"
"Sachsen","Malta","25"
"Sachsen","Niederlande","1105"
"Sachsen","Norwegen","135"
"Sachsen","Österreich","1915"
"Sachsen","Polen","22040"
"Sachsen","Portugal","1650"
"Sachsen","Rumänien","13980"
"Sachsen","Schweden","250"
"Sachsen","Schweiz","795"
"Sachsen","Serbien","2155"
"Sachsen","Slowakei","4475"
"Sachsen","Slowenien","275"
"Sachsen","Spanien","2295"
"Sachsen","Tschechien","8155"
"Sachsen","Ungarn","5950"
"Sachsen","Vereinigtes Königreich","1530"
"Sachsen","Zypern","100"
"Schleswig-Holstein","Belgien","440"
"Schleswig-Holstein","Bosnien und Herzegowina","1990"
"Schleswig-Holstein","Bulgarien","10580"
"Schleswig-Holstein","Dänemark","7020"
"Schleswig-Holstein","Estland","320"
"Schleswig-Holstein","Finnland","905"
"Schleswig-Holstein","Frankreich","1780"
"Schleswig-Holstein","Griechenland","4955"
"Schleswig-Holstein","Insgesamt","286270"
"Schleswig-Holstein","Irland","365"
"Schleswig-Holstein","Italien","6070"
"Schleswig-Holstein","Kroatien","3730"
"Schleswig-Holstein","Lettland","1445"
"Schleswig-Holstein","Litauen","2150"
"Schleswig-Holstein","Luxemburg","90"
"Schleswig-Holstein","Malta","20"
"Schleswig-Holstein","Niederlande","2245"
"Schleswig-Holstein","Norwegen","520"
"Schleswig-Holstein","Österreich","3120"
"Schleswig-Holstein","Polen","29395"
"Schleswig-Holstein","Portugal","2985"
"Schleswig-Holstein","Rumänien","19120"
"Schleswig-Holstein","Schweden","1155"
"Schleswig-Holstein","Schweiz","1110"
"Schleswig-Holstein","Serbien","3245"
"Schleswig-Holstein","Slowakei","925"
"Schleswig-Holstein","Slowenien","275"
"Schleswig-Holstein","Spanien","3320"
"Schleswig-Holstein","Tschechien","565"
"Schleswig-Holstein","Ungarn","1915"
"Schleswig-Holstein","Vereinigtes Königreich","1695"
"Schleswig-Holstein","Zypern","55"
"Thüringen","Belgien","130"
"Thüringen","Bosnien und Herzegowina","595"
"Thüringen","Bulgarien","4930"
"Thüringen","Dänemark","60"
"Thüringen","Estland","65"
"Thüringen","Finnland","65"
"Thüringen","Frankreich","510"
"Thüringen","Griechenland","1230"
"Thüringen","Insgesamt","126270"
"Thüringen","Irland","95"
"Thüringen","Italien","1990"
"Thüringen","Kroatien","1075"
"Thüringen","Lettland","1130"
"Thüringen","Litauen","1040"
"Thüringen","Luxemburg","40"
"Thüringen","Malta","5"
