Statistik_Code,Statistik_Label,Zeit_Code,Zeit_Label,Zeit,1_Merkmal_Code,1_Merkmal_Label,1_Auspraegung_Code,1_Auspraegung_Label,2_Merkmal_Code,2_Merkmal_Label,2_Auspraegung_Code,2_Auspraegung_Label,3_Merkmal_Code,3_Merkmal_Label,3_Auspraegung_Code,3_Auspraegung_Label,BEV027__Auslaender__Anzahl
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST152,Polen,4755
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST158,Schweiz,145
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST164,Tschechien,105
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,,Insgesamt,140330
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST124,Belgien,200
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST126,Dänemark,215
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST129,Frankreich,1035
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST148,Niederlande,1025
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST151,Österreich,815
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST152,Polen,9460
